Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points      ,Duplicate
1957,f,1957f,J,Belgium,Belgium,0,x
1957,f,1957f,J,Belgium,Luxembourg,0,
1957,f,1957f,J,Belgium,United Kingdom,1,
1957,f,1957f,J,Belgium,Italy,1,
1957,f,1957f,J,Belgium,Austria,0,
1957,f,1957f,J,Belgium,Netherlands,5,
1957,f,1957f,J,Belgium,Germany,1,
1957,f,1957f,J,Belgium,France,2,
1957,f,1957f,J,Belgium,Denmark,0,
1957,f,1957f,J,Belgium,Switzerland,0,
1957,f,1957f,J,Luxembourg,Belgium,0,
1957,f,1957f,J,Luxembourg,Luxembourg,0,x
1957,f,1957f,J,Luxembourg,United Kingdom,1,
1957,f,1957f,J,Luxembourg,Italy,1,
1957,f,1957f,J,Luxembourg,Austria,0,
1957,f,1957f,J,Luxembourg,Netherlands,3,
1957,f,1957f,J,Luxembourg,Germany,0,
1957,f,1957f,J,Luxembourg,France,4,
1957,f,1957f,J,Luxembourg,Denmark,0,
1957,f,1957f,J,Luxembourg,Switzerland,1,
1957,f,1957f,J,United Kingdom,Belgium,0,
1957,f,1957f,J,United Kingdom,Luxembourg,1,
1957,f,1957f,J,United Kingdom,United Kingdom,0,x
1957,f,1957f,J,United Kingdom,Italy,2,
1957,f,1957f,J,United Kingdom,Austria,2,
1957,f,1957f,J,United Kingdom,Netherlands,1,
1957,f,1957f,J,United Kingdom,Germany,0,
1957,f,1957f,J,United Kingdom,France,2,
1957,f,1957f,J,United Kingdom,Denmark,2,
1957,f,1957f,J,United Kingdom,Switzerland,0,
1957,f,1957f,J,Italy,Belgium,0,
1957,f,1957f,J,Italy,Luxembourg,4,
1957,f,1957f,J,Italy,United Kingdom,0,
1957,f,1957f,J,Italy,Italy,0,x
1957,f,1957f,J,Italy,Austria,0,
1957,f,1957f,J,Italy,Netherlands,1,
1957,f,1957f,J,Italy,Germany,1,
1957,f,1957f,J,Italy,France,0,
1957,f,1957f,J,Italy,Denmark,3,
1957,f,1957f,J,Italy,Switzerland,1,
1957,f,1957f,J,Austria,Belgium,0,
1957,f,1957f,J,Austria,Luxembourg,3,
1957,f,1957f,J,Austria,United Kingdom,1,
1957,f,1957f,J,Austria,Italy,0,
1957,f,1957f,J,Austria,Austria,0,x
1957,f,1957f,J,Austria,Netherlands,6,
1957,f,1957f,J,Austria,Germany,0,
1957,f,1957f,J,Austria,France,0,
1957,f,1957f,J,Austria,Denmark,0,
1957,f,1957f,J,Austria,Switzerland,0,
1957,f,1957f,J,Netherlands,Belgium,0,
1957,f,1957f,J,Netherlands,Luxembourg,0,
1957,f,1957f,J,Netherlands,United Kingdom,1,
1957,f,1957f,J,Netherlands,Italy,2,
1957,f,1957f,J,Netherlands,Austria,1,
1957,f,1957f,J,Netherlands,Netherlands,0,x
1957,f,1957f,J,Netherlands,Germany,0,
1957,f,1957f,J,Netherlands,France,1,
1957,f,1957f,J,Netherlands,Denmark,5,
1957,f,1957f,J,Netherlands,Switzerland,0,
1957,f,1957f,J,Germany,Belgium,2,
1957,f,1957f,J,Germany,Luxembourg,0,
1957,f,1957f,J,Germany,United Kingdom,0,
1957,f,1957f,J,Germany,Italy,0,
1957,f,1957f,J,Germany,Austria,0,
1957,f,1957f,J,Germany,Netherlands,1,
1957,f,1957f,J,Germany,Germany,0,x
1957,f,1957f,J,Germany,France,6,
1957,f,1957f,J,Germany,Denmark,0,
1957,f,1957f,J,Germany,Switzerland,1,
1957,f,1957f,J,France,Belgium,0,
1957,f,1957f,J,France,Luxembourg,0,
1957,f,1957f,J,France,United Kingdom,0,
1957,f,1957f,J,France,Italy,0,
1957,f,1957f,J,France,Austria,0,
1957,f,1957f,J,France,Netherlands,4,
1957,f,1957f,J,France,Germany,6,
1957,f,1957f,J,France,France,0,x
1957,f,1957f,J,France,Denmark,0,
1957,f,1957f,J,France,Switzerland,0,
1957,f,1957f,J,Denmark,Belgium,2,
1957,f,1957f,J,Denmark,Luxembourg,0,
1957,f,1957f,J,Denmark,United Kingdom,0,
1957,f,1957f,J,Denmark,Italy,1,
1957,f,1957f,J,Denmark,Austria,0,
1957,f,1957f,J,Denmark,Netherlands,3,
1957,f,1957f,J,Denmark,Germany,0,
1957,f,1957f,J,Denmark,France,2,
1957,f,1957f,J,Denmark,Denmark,0,x
1957,f,1957f,J,Denmark,Switzerland,2,
1957,f,1957f,J,Switzerland,Belgium,1,
1957,f,1957f,J,Switzerland,Luxembourg,0,
1957,f,1957f,J,Switzerland,United Kingdom,2,
1957,f,1957f,J,Switzerland,Italy,0,
1957,f,1957f,J,Switzerland,Austria,0,
1957,f,1957f,J,Switzerland,Netherlands,7,
1957,f,1957f,J,Switzerland,Germany,0,
1957,f,1957f,J,Switzerland,France,0,
1957,f,1957f,J,Switzerland,Denmark,0,
1957,f,1957f,J,Switzerland,Switzerland,0,x
1958,f,1958f,J,Italy,Italy,0,x
